Date,Open,High,Low,Close,Volume,Close
2015/9/29,23.35,23.35,23.35,23.35,0,23.35
2015/9/30,23.55,23.55,22.5,23.3,266000,23.3
2015/10/1,23.3,23.45,23.05,23.45,324000,23.45
2015/10/2,23.5,23.7,23.05,23.5,421000,23.5
2015/10/5,23.45,23.75,23.25,23.4,984000,23.4
2015/10/6,23.55,23.95,23.05,23.45,1009000,23.45
2015/10/7,23.5,23.5,23,23.35,487000,23.35
2015/10/8,23.5,24.3,23.35,24,1867000,24
2015/10/9,24,24,24,24,0,24
2015/10/12,24.1,24.9,24.05,24.3,1259000,24.3
2015/10/13,24.25,24.25,23.7,24.1,507000,24.1
2015/10/14,23.95,24.2,23.85,24.15,318000,24.15
2015/10/15,24.35,24.35,23.85,24.15,380000,24.15
2015/10/16,23.8,24,23.65,23.85,1195000,23.85
2015/10/19,23.85,23.85,22,23.6,2222000,23.6
2015/10/20,23.35,23.6,22.85,23.5,754000,23.5
2015/10/21,23.5,23.55,23.25,23.4,452000,23.4
2015/10/22,23.4,23.4,23,23.35,619000,23.35
2015/10/23,23.45,23.45,22.9,23.2,757000,23.2
2015/10/26,23.2,23.2,22.55,22.9,861000,22.9
2015/10/27,22.7,22.8,22.4,22.7,1052000,22.7
2015/10/28,22.65,23.4,22.55,23.25,1777000,23.25
2015/10/29,23,23.3,22.85,23.05,500000,23.05
2015/10/30,23.2,23.7,23.1,23.25,1425000,23.25
2015/11/2,23.3,23.3,22.95,23.25,521000,23.25
2015/11/3,23.2,23.2,22.8,22.9,589000,22.9
2015/11/4,22.65,22.9,22.6,22.7,750000,22.7
